date,title,content
1981/11/01,역사편찬위원회 발족,"협회는 11월 1일 역사편찬위원회를 발족시키고 17명의 위원을 위촉하였다. 그중 김원필 목사를 고문에, 이재석 협회장을 위원장에 추대하고 유광렬 전 협회 문화부장을 편사실장에 임명하였다. 고문 金元弼(김원필), 위원장 李載錫(이재석), 위원 姜賢實(강현실), 李耀翰(이요한), 李秀卿(이수경), 金相哲(김상철), 金榮輝(김영휘), 黃煥采(황환채), 柳光烈(유광렬), 金永雲(김영운), 崔元福(최원복), 文昇龍(문승룡), 崔翔翊(최상익), 朴普熙(박보희), 郭錠煥(곽정환), 金啓煥(김계환), 小山田秀生(오야마다 히데오) -사보 창간호 중-"
1981/11/14,국제기독학생연합회(ICSA) 창설,대표 손대오
1981/11/16,"참아버님, 국제지도자회의(ILC)",
1981/12/18,"참부모님, 국제평화재단(The Foundation for Peace International) 창설",
1982/01/01,"참부모님, 제15회 하나님의 날 0시 집회, 연두표어 및 주제 '가정교회 승리'",
1982/04/01,문선명 연구소 창설,
1982/04/26,"문신복(文信福)님(음4.3)님 탄생, 문예진님 가정",9:00
1982/05/17,워싱턴타임스 창간,"본지 20면 부록 24면, 일간 12만부 발행, 발행인 및 편집인 제임스 웰런"
1982/05/18,"참아버님, 탈세혐의 유죄 평결","배심원재판 유죄,카미야마 다케루 보좌관도 유죄"
1982/06/21,"참부모님, 영계통합 선포식(음5.1)",
1982/10/14,"참부모님, 6000가정 축복결혼식, 주제 '천국건설의 역군이 되라'",오전 10시 30분
1982/12/26,워싱턴연구소 창설,
1983/01/01,"참부모님, 제16회 하나님의 날, 연두표어 및 주제 ‘가정교회는 우리의 정착지’",
1983/02/18,일본에 주식회사 One world production 설립,
1983/02/28,"문신정(文信貞)님(음1.16) 탄생, 문효진님 가정","지난 2월 28일(음 1. 16) 낮 12시 17분 미국 뉴욕에서 문효진씨(부인 홍난숙)가 따님을 낳아, 아버님께서 이름을 신정(信貞)으로 명명해주셨다. 무게는 6.13키로였다 -출처: 사보 제17호 3페이지 수록-"
1983/04/25,국제종교재단(IRF) 창설,
1983/05/01,"참부모님, 협회창립 30회 기념식, 주제 '복귀섭리의 회고'",오전 9시
1983/12/18,"참부모님, 제1회 세계평화교수협의회(PWPA) 세계대회, 주제 '세계평화교수협의회와 우리의 결의'","제1차 세계평화교수협의회 세계대회, 세계 72개국 의장단 70여명 비롯한 국내 대학교수 및 일반인사 550여명"
1984/01/08,"문흥진님 세계성화식 및 귀환식, 원전식","문흥진님 세계성화식-리틀엔젤스예술회관, 세계 70여 개국 3천여명 식구, 귀환식-신문로 영빈관, 원전식-경기도 파주군 적성면 무건리"
1984/05/12,유니버설발레단 창단,
1984/05/16,"참부모님, 애천일(愛天日) 선포",
1984/06/01,"참부모님, 세계지도자회의",
1984/07/20,"참아버님, 미국 코네티컷주 댄버리 연방교도소에 오후 11시 수감",전국 식구 철야기도회
1984/11/03,세계원리연구회 초대회장에 문효진(文孝進)님 추대,참아버님 강연문 곽정환 대독
1985/02/01,"참부모님, 개천문일 선포",이스트가든에 계시는 참어머님과 전화 연결을 통하여 선포하심
1985/04/07,"참부모님, 천제부모등극식",댄버리 부활절 특별휴가 4일차
1985/08/16,"참부모님, 일승일(一勝日) 선포와 성수식(聖水式), 주제 '하나되라'",
1985/08/20,"참아버님, 댄버리 입감 13개월 만에 완전출감",하프웨이하우스-이스트가든
1985/09/01,세계종교자유협회 창립,회장: 조셉 페이지(Joseph C. Paige)
1985/11/15,"참부모님, 세계종교의회 창립총회","세계종교의회 창립총회(1985.11.16, 뉴저지 아메리카나 그레이트조지호텔) 세계85개국 750명"
1986/01/01,"참부모님, 제19회 하나님의 날 0시 예배, 연두표어 및 주제 ‘천국창건’",
1986/04/12,"참부모님, 축복가정 2세 36가정 성혼식",
1986/04/30,"참부모님, 한국 협회 및 국제승공연합 간부 대폭 교체",
1986/05/15,통일사상연구원 ‘공산주의의 종언’ 발간,
1987/03/01,미국 세계일보 창간,"사명으로 세계신보에서 세계일보로 명칭 변경 1982년 7월 24일 뉴욕에서 주간지「세계신보」가 창간되었다. 1986년 4월 2일 지령 제194호부터 격일간으로 발행하였다. 그러다가 금년(1987) 3월 1일 사명을 세계일사보로, 제호를「세계일보」(TheSaeGae Times)로 고치면서 명실 그대로의 일간지를 발행하게 되었다. -사보 67권 내용 중-"
1987/06/01,"참부모님, 제1차 세계평화를 위한 정상회의 개회식, 주제 '세계평화를 위한 도전과 가능성'",
1987/07/03,"참부모님, 노스가든 봉헌식",효진님 동행
1987/12/15,남북통일운동국민연합 사회단체 등록(국토통일원 제18호),
1988/05/26,"참부모님, 한국티타늄 뉴세라믹스연구소 준공식",‘선진기술(先進技術)’ 휘호
1988/10/03,"참부모님, 세계통일국개천일 선포, 주제 '세계통일국개천일 말씀'",한국간부와 세계 120개국 대표 1천200여명
1988/10/30,"참부모님, 6500가정 축복결혼식","오전 11시, 한국 일본 등 18개국 6천516쌍"
1989/01/11,"참부모님, 축복가정 2세 72가정 축복결혼식","오전 10시 축복결혼 축하만찬회, 리틀엔젤스예술회관 축하공연"
1989/06/11,참아버님 지시로 전 식구 40일간 하루 한 끼 금식,7월 20일까지
1989/09/01,"참부모님, 천부주의(天父主義) 선포",
1989/09/18,"참부모님, Foundation Day 기념행사",
1989/10/16,"참부모님, 제1차 전국목회자교육",
1989/11/04,"참부모님, 홍순애 대모님 ‘충심봉신(忠心奉身)’ 휘호 ‘대모(大母)’ 존호 하사",신문로 공관 방문하심
1990/01/29,참아버님 고희기념 남북통일 대비 단합대회,
1990/02/27,"참부모님, 천지부모 선포, 주제 '하늘나라 왕권 정착'",참석자들에게 기념 팔찌 및 넥타이 선물
1990/03/01,"참부모님, 삼일절 집회, 주제 '선포하자 참부모님을'",
1990/03/27,"참부모님, 제31회 부모의 날 기념예배, 여성전체해방권 선포, 참어머님을 통일교회 제2교주로 임명, 주제 '부모의 날과 나'",
1990/05/05,국제교육재단(IEF) 창설,
1990/05/10,"참부모님, 문선명 회장 모스크바대회 보고회, 주제 '같이 전진하자'",시간: 오후 6시 30분 정계·재계·문화계 인사 2천여명
1990/05/25,"참부모님, 한남동 공관 교구장 및 선교사 연석회의, 주제 '참부모 선포와 종족적 메시아의 사명'",
1990/08/16,"참부모님, 제2회 세계종교의회 참아버님 기조연설 및 세계평화종교연합 창설 선포, 주제 '세계종교의회 기조연설'",
